gene_name,log2FoldChange,neg_log_q
XIST,8.925440643,48.96904065
RP11-536I6.2,8.082020072,1.970534242
GPR25,6.070086767,5.663540266
RP4-683M8.2,5.562367473,3.018189092
THEG,5.418470886,4.958607315
AL928768.3,5.316540159,5.090443971
FEZF2,5.237893472,1.561135949
RP11-116G8.5,5.190838589,3.412400148
RP11-380I10.4,5.137410154,3.293098812
AF064860.7,5.131945634,2.677206575
OR11H6,5.075190833,1.334950787
NEUROG2,5.072009311,1.903413396
RP11-531A24.3,5.052339443,2.172805708
NLRP11,5.009932052,1.943323785
IGLL5,4.947330327,5.632644079
MIR31HG,4.905610311,9.408935393
IGJ,4.834281945,3.716807358
TMEM213,4.833724716,1.887295451
CALML3,4.801136203,3.109318594
IGKJ5,4.788957685,5.235077015
C6orf15,4.665359084,2.768311024
NLRP7,4.640809503,2.902866296
AC096579.13,4.640750748,8.543633967
HOXC-AS5,4.583238219,2.583176495
TNFRSF17,4.468693722,2.566211771
CXCL17,4.388595972,4.473660723
CCDC129,4.36238589,7.424812155
AMPD1,4.251760793,2.440138242
OLFM4,4.136004021,8.4225082
C4BPA,4.124043571,7.344861565
KIAA0125,4.122149381,3.500728169
OR10A3,4.054572124,3.478423918
MUC5B,4.05081051,7.200659451
TERT,3.987511949,2.172805708
FETUB,3.889403681,3.118695247
KRT81,3.873284261,10.74714697
ANXA8L2,3.871408958,11.32513886
C10orf43,3.826900245,8.772113295
ETV3L,3.80699022,1.402546661
PSG4,3.805354779,1.308642071
RP11-259K21.3,3.796437127,10.33161408
GRP,3.794398059,1.963111005
KRT83,3.790664812,2.019494274
KIRREL3-AS1,3.759067165,2.28208513
ATP6V0A4,3.747215744,2.920147203
LINC00162,3.73148386,8.187086643
CR2,3.706885455,8.178486472
LCN2,3.694937968,9.442492798
ANXA8,3.686488977,7.623423043
RP11-817J15.2,3.669409053,7.140861703
C7orf65,3.613689728,1.661338162
RP11-445O3.1,3.598996405,2.824188227
IFNE,3.592474661,3.500728169
FOLR1,3.560141957,7.518557371
DERL3,3.528102529,2.665736495
KLK6,3.524722654,1.887295451
ACY3,3.518225605,1.655597626
ATP13A5,3.513109034,6.568636236
FCRL5,3.49645496,6.100726813
SYT8,3.496423074,2.568298743
FCRL2,3.488413037,5.118615343
RP11-146E13.4,3.485398916,7.543633967
RP11-492E3.2,3.476276534,2.677206575
SLC34A2,3.475362412,3.470522163
SLC5A1,3.474894347,5.107348966
CD79A,3.461691345,5.761953897
MMP20,3.460902909,5.446116973
RP4-799P18.2,3.426420051,7.140861703
CCDC42B,3.41719271,1.930090223
KLHDC7B,3.385654309,5.232102384
AP001505.9,3.384092034,4.954677021
RP11-532E4.2,3.383853757,2.968088046
FIGLA,3.37507016,2.677206575
RP11-1280I22.1,3.36677416,3.156841999
ANXA8L1,3.362374469,3.293938848
AC016735.1,3.361552319,3.630516967
TP53AIP1,3.350057311,2.357796333
POU2AF1,3.341519203,5.2644011
GSDMC,3.329711309,13.24795155
AP001626.1,3.307783338,7.962573502
MMP7,3.295497462,5.093126465
AC016735.2,3.295006266,10.22621356
KRT15,3.290628305,6.586700236
PNOC,3.243014578,5.735182177
APCDD1L,3.234002895,2.020454311
DBC1,3.205951851,13.01278077
GABRP,3.200560167,12.59516628
AC093822.1,3.181979006,1.452652085
CRB2,3.180814865,2.172805708
CXCL5,3.158816793,3.500728169
RP11-536I6.1,3.153115217,1.676075913
MIR205HG,3.145065891,5.231361899
CDH3,3.129565012,2.599392771
FUT6,3.129526912,1.988942428
PROM1,3.128535349,7.161150909
CNGB1,3.114501943,1.312765183
RP11-615I2.2,3.105785844,1.588082702
AC005152.3,3.088609005,1.927757089
VGLL1,3.082379293,5.302770657
CYP26A1,3.079002118,2.57025886
RP11-79H23.3,3.075231826,2.03696193
RP11-817J15.3,3.060773508,5.847711656
TMEM211,3.057648798,1.70740292
TEX11,3.050217709,1.4891121
SLC28A3,3.043128846,4.809668302
CTD-2015G9.2,3.032739074,8.318758763
RP11-84E24.2,3.02779416,4.060980224
SLC13A2,3.017968194,2.853264687
CTD-2015G9.1,2.996073265,2.786898409
RP11-380F14.2,2.99203735,4.26520017
C1QL2,2.971191606,1.667362194
HOXC13,2.971098334,3.137455402
RP11-10N16.2,2.971096684,1.308902817
CLDN16,2.967843076,1.41994655
AL590708.2,2.963212145,3.675867824
ROPN1,2.949751445,4.163675884
TDRD12,2.924926773,1.655199779
BARX1,2.915214328,2.695432142
RP11-470P21.2,2.910613396,2.787796942
SLC7A3,2.905583305,2.122445701
RASAL1,2.904086883,4.477555766
RP11-60L3.1,2.898309283,2.443054616
ST6GAL2,2.894835237,7.369572125
RP11-731F5.2,2.891904887,9.037630664
KLK8,2.883902706,2.175763621
MYBPH,2.883590682,1.870328086
B3GNT3,2.879808022,3.374556869
ANTXRL,2.879486666,3.659559851
MS4A1,2.875478982,2.665736495
RP11-266O8.1,2.870754389,1.311253032
RP11-538D16.2,2.858984916,1.998797888
HS3ST4,2.858094116,5.478861916
FAM3D,2.85597888,2.175763621
RP4-809F18.1,2.850201204,3.01968932
ANO1-AS2,2.84989411,3.81850799
CRABP1,2.827968908,2.172047277
BBOX1,2.823016685,11.02410886
MRGPRX3,2.814382465,1.405029217
RP11-554I8.2,2.805462755,2.317383144
GPR12,2.799236839,3.380288032
ELF5,2.789855078,3.758869585
FUT9,2.787196371,1.744406742
RP11-84E24.3,2.779007797,2.779267605
RP11-475O23.3,2.77831069,1.898005201
AC144521.1,2.77483046,1.715071275
IL22RA2,2.772696261,2.946356957
RP11-1220K2.2,2.770753599,1.984930136
RNF186,2.767977462,7.759450752
RP5-944M2.3,2.754554666,1.50536052
ST8SIA2,2.750145657,2.163992287
CXCL6,2.749567975,6.300162274
EDN3,2.748997883,8.081969663
KCNN4,2.744988577,6.162411562
FAM92B,2.731279045,2.659315602
KCNH3,2.714605159,9.669586227
FABP7,2.706429605,1.533017611
LTF,2.700329388,4.659555885
NCCRP1,2.697297112,1.851378407
DPYS,2.696630694,2.088211338
OR5P3,2.694260775,1.406590941
STRA6,2.689163896,3.39195024
LINC00402,2.685325287,1.309398292
ROPN1B,2.67758963,5.966576245
PI3,2.675715,1.44452238
PADI2,2.674827923,7.716698771
ATP6V1B1,2.665464206,6.759450752
RP11-84D1.1,2.662225672,3.34841673
RP1-124C6.1,2.661411623,3.639251374
GRAMD2,2.658351702,8.63638802
JSRP1,2.655223506,1.903413396
FBN3,2.653509061,2.953518493
SLCO1A2,2.648470807,1.697536941
GRIA4,2.644987609,8.178486472
OR2L13,2.640025688,1.70740292
TNFRSF13B,2.637921735,3.653168001
AF131215.4,2.63615771,1.374121771
RP3-523K23.2,2.63126078,7.91721463
CXCR3,2.6288919,2.148294192
DSC3,2.626884303,6.364516253
PIGR,2.625890453,2.341309249
PDZK1IP1,2.622867378,8.079876674
SYT12,2.622821256,3.077029186
OXTR,2.622081847,2.324020225
TP63,2.613579947,8.542118103
CD164L2,2.607182981,2.388341151
RP1-269M15.3,2.607003082,1.307448933
SOX10,2.602221615,6.675717545
FDCSP,2.591437185,3.10128085
RP11-494M8.4,2.590045941,6.386158178
KLHDC8A,2.589551295,3.97716351
TMPRSS3,2.575114111,8.197910742
KLRC1,2.566736812,3.471348069
LAD1,2.563459204,4.203425667
PF4V1,2.559082978,3.127559343
BCL2L14,2.550992338,3.232612572
TFAP2C,2.549902335,7.91721463
TMPRSS11A,2.54922104,1.554252581
PTCHD1,2.549036321,5.308918508
RP11-23P13.6,2.547423449,4.536107011
FGFBP1,2.547185836,1.474181283
C21orf88,2.54289769,1.860208127
AC007092.1,2.540830265,4.391473966
RASSF6,2.539204194,8.274088368
ADTRP,2.525644658,4.684029655
KLRC2,2.523373006,1.668972742
CLDN19,2.512714528,3.223226924
CHST9,2.507361932,6.326979093
COX6B2,2.501943599,1.510929978
ATP13A5-AS1,2.500634681,2.213015385
CD27,2.496644647,5.991399828
RARRES1,2.494297487,2.317459453
AC009133.17,2.489713882,1.727694712
DSG1,2.488898852,3.118695247
BHLHA15,2.485827077,2.080563632
SLPI,2.482981247,3.122586033
SDC1,2.482824978,7.099086932
MUC15,2.480951719,5.061480275
IL17B,2.479906124,2.191859547
SPHKAP,2.477295439,1.888936797
MIR4454,2.469946589,5.226945307
STAC2,2.468328697,3.10128085
RP5-1065P14.2,2.461189291,2.32472166
AC226118.1,2.460870512,4.105683937
RP11-35N6.1,2.458587703,6.179798541
ITGB6,2.450483692,2.817565659
SERPINB5,2.44889414,6.688246139
SLC6A14,2.44186947,4.386158178
CTD-3080F16.3,2.437374381,2.487005066
C4BPB,2.431415221,5.43062609
KCNH8,2.426305421,4.76700389
SVOPL,2.422663995,2.960939013
FAM83B,2.420970775,5.427128398
BLK,2.414417674,4.4867824
EHF,2.401776154,4.107348966
AC004863.6,2.401413216,5.061480275
TRIM29,2.401321356,6.759450752
SOX11,2.398543332,2.899996692
DACT2,2.393272142,3.170791461
RP11-489O18.1,2.389702744,2.003657569
LINC00494,2.389387387,2.577446271
AC087393.1,2.381583442,2.341309249
FAT2,2.380191925,6.603800653
ZNF683,2.379713864,1.535618935
C8orf47,2.378040851,1.825205306
USH1C,2.376315915,1.982421587
BCL11A,2.374406932,6.790484985
NKX2-8,2.373051013,1.988471466
GLYATL2,2.371971441,3.407483493
FOXI1,2.355955717,2.742936351
PLCH1,2.350209031,5.15490196
MUC16,2.349607884,4.482804102
PLA2G2D,2.345513933,1.402546661
AC008687.1,2.343019978,1.784651816
LYPD6B,2.334115826,2.569938496
SLC35F3,2.331271078,6.064996849
RP1-45C12.1,2.330487889,1.682747883
C10orf81,2.326957576,3.385973299
RP11-845M18.6,2.323369553,3.86429503
SCML4,2.32225278,2.689382085
DMBT1,2.318719407,1.344617074
PLD4,2.317924416,2.149956314
CTD-2314B22.3,2.316378034,6.661543506
FAM177B,2.316053126,4.26520017
ADH4,2.31302652,2.703956647
TNFRSF13C,2.311783372,2.172805708
GPR110,2.310406269,2.471523471
AC104655.3,2.3091363,3.057042006
TTYH1,2.307193093,3.561462398
PRSS21,2.305850521,2.551658424
LRRC4C,2.303653642,5.782516056
C1orf116,2.302653794,4.107348966
GS1-24F4.2,2.300387338,2.121316408
RP11-500B12.1,2.294360174,2.097174742
RP11-309M23.1,2.292681372,5.265840347
INSRR,2.289234013,2.230160559
DCHS2,2.283788075,7.030584088
RP11-290F5.1,2.282092387,1.791679731
AC087491.2,2.281797838,3.500409133
SAA4,2.279854886,6.49757288
CHRM1,2.27489384,1.863524672
B3GALT5,2.274599838,1.376973343
NALCN,2.273789966,5.465973894
AK5,2.273628198,3.586281235
AC139666.1,2.270749472,5.518557371
WNK2,2.269753392,3.862057521
ICAM5,2.264302638,1.902868588
EGF,2.261859468,1.528934739
KRT74,2.260248094,2.645358052
UGT8,2.260118576,5.446116973
EFCAB1,2.259455004,6.196542884
DSG3,2.250078456,6.28567024
LY6D,2.243039217,2.237669762
TP73,2.237713897,1.731743492
KRT17,2.233136453,1.643440595
CELF5,2.227885919,4.850780887
LINC00327,2.226433979,3.512222677
HAS3,2.225022833,1.677835326
CLEC4F,2.224371275,2.172805708
AC005152.2,2.222176027,5.373659633
RP11-464C19.3,2.221602433,5.104025268
GLB1L3,2.220151201,1.716008882
NTRK1,2.217763934,2.896889994
GPR114,2.215198434,3.174331809
NKX6-1,2.20513708,1.585279167
SAMD5,2.20269857,5.221125528
WNT10A,2.202596646,3.561462398
STX19,2.202472587,2.906333568
PAK7,2.194159012,5.478861916
TMEM61,2.1880349,2.665283942
ACTBL2,2.184953414,1.525821746
COL17A1,2.18401768,5.338187314
NPM2,2.172653173,5.427128398
ZNF648,2.170866841,3.131117617
RASL10A,2.170360791,2.719741778
C8orf80,2.165925999,4.186419011
C8orf85,2.155281817,4.206209615
FAM167A,2.155132011,2.921373195
RP11-12C17.2,2.151111419,2.015183313
CTC-327F10.4,2.149474719,1.31456577
CCL28,2.146669969,3.561462398
RP4-740C4.4,2.129410563,1.905559409
SLC39A2,2.128151921,2.172047277
PITX1,2.123321195,3.380288032
AC007461.2,2.120441432,1.818450689
PODNL1,2.118892759,5.467245621
PART1,2.111668776,4.903089987
IFFO2,2.10236062,1.791679731
EPCAM,2.098471816,3.86045778
CCDC163P,2.097137704,6.201349355
CDKN2A,2.095971964,4.696803943
CRISPLD1,2.092788983,2.737652869
DAPP1,2.091905772,3.257556898
RP11-58E21.3,2.091386976,3.266825213
PIK3C2G,2.090412649,5.369572125
FAM41C,2.076539436,1.70740292
RP3-416H24.1,2.076144716,1.898005201
CTC-327F10.5,2.074249255,1.902868588
SLC47A2,2.064084509,3.588065629
CLDN8,2.062625666,2.028673487
KRT7,2.060671667,1.620403539
GYLTL1B,2.058961269,4.625251654
CTD-2012M11.2,2.054835791,4.804100348
CTC-497E21.4,2.051213038,2.177995335
TGFA,2.044546832,4.970616222
EPHB3,2.043322122,2.859014558
KB-1552D7.2,2.040739917,1.443655435
PPAP2C,2.040365407,4.701146924
SCN2A,2.036138909,3.071185931
RP11-164P12.4,2.0353884,3.223226924
CCNJL,2.032426133,2.851382848
RP11-382A18.1,2.025809362,2.092891407
EPHB1,2.023465526,4.277366077
TNNI2,2.012245371,2.541087613
RP4-809F18.2,2.003752597,1.354397212
S100A14,2.003077341,1.986598896
C17orf66,2.001064224,1.555444037
CTD-2540L5.6,2.000912244,1.727694712
B4GALNT3,2.000542567,4.659555885
FAM55D,1.997917738,1.627133214
CAPZA3,1.995519546,2.946356957
KRT5,1.995302476,2.451375868
FUT3,1.994507058,1.814046155
CTD-3195I5.4,1.993807011,1.766447815
RP11-799O21.1,1.986805892,1.968350458
RP11-495P10.3,1.981397331,1.452652085
RP11-116G8.4,1.981292082,1.347559083
RIPK4,1.9788592,3.818102129
PLCZ1,1.975210487,2.746080497
KIT,1.972184629,3.263618639
KLF5,1.967249899,2.551658424
NIPAL1,1.966424689,4.245651664
KCNA3,1.96598503,3.68384926
KLC3,1.959845801,1.471251474
TNS4,1.95889851,3.28567024
FHAD1,1.9558239,3.881034618
RP11-626H12.1,1.954052274,1.856230652
AC008746.3,1.953884724,2.051900593
P2RY10,1.949770021,4.346787486
ENTPD2,1.948823597,2.786898409
LGR6,1.943552742,1.69676246
PALM3,1.937614592,1.72875211
CTD-2616J11.3,1.932382823,2.014296735
RP11-496I2.3,1.931113037,1.400421543
RP11-406A9.2,1.930161325,1.562795755
PTH2R,1.929620224,2.809361042
CCNYL2,1.923626032,2.280985267
VSNL1,1.923209552,4.187086643
CTD-2012M11.3,1.922706134,2.578154482
CXADR,1.92183232,4.333482019
RP11-761E20.1,1.914811415,1.303100698
WDR86,1.90600546,4.023650021
RNF39,1.904823762,2.58730985
RP11-408H20.1,1.904496912,2.755764702
CDC42BPG,1.900222024,3.088835997
PLCH2,1.882931935,2.044650631
RP11-7I15.3,1.878971717,4.154281982
SYT13,1.878863623,1.780910925
RP11-300E4.2,1.872804391,1.898005201
ABCC3,1.867888104,3.884742392
CTC-231O11.1,1.865514549,3.924522385
SOX9,1.865334788,1.497359814
SLC27A6,1.863574999,3.72845809
CHRM3-AS2,1.861877001,2.383054946
B3GAT1,1.85893674,2.952625432
GRB7,1.855183082,2.261888755
TMEM156,1.853858361,1.923558984
GPRIN2,1.849997506,2.611633221
ATP13A4,1.847753904,1.810218299
C1orf106,1.845769576,3.096764006
TCF7,1.844800572,4.052566278
ST6GALNAC5,1.841781064,1.715071275
